time m <n0> <n1>  nActive
16.8 44 0.680471649258 0.520906750971 24
16.9 45 0.678966461658 0.52084526745 24
17 45 0.677467000327 0.520787858918 24
17.1 45 0.675972915149 0.520735120172 25
17.2 45 0.674483879898 0.520687609892 26
17.3 45 0.672999606325 0.520645806885 26
17.4 45 0.67151984036 0.520610080761 26
17.5 45 0.670044368506 0.520580656004 25
17.6 45 0.668573014223 0.520557601708 26
17.7 45 0.667105648289 0.520540794605 26
17.8 46 0.665642185244 0.520529913312 28
17.9 46 0.66418257892 0.520524444559 28
18 46 0.662726832793 0.520523671007 27
18.1 47 0.661274990214 0.520526694813 27
18.2 48 0.659827138725 0.520532448702 28
18.3 47 0.658383406297 0.520539723485 28
18.4 48 0.656943960199 0.520547195109 28
18.5 49 0.655509003094 0.520553465619 27
18.6 48 0.654078771594 0.520557096136 28
18.7 47 0.65265353238 0.520556645978 28
18.8 48 0.651233576327 0.520550716103 28
18.9 49 0.649819219305 0.52053798623 28
19 49 0.648410795424 0.520517251034 28
19.1 50 0.647008650304 0.520487458753 28
19.2 51 0.645613142685 0.520447731261 28
19.3 50 0.644224633637 0.520397391876 28
19.4 49 0.64284348972 0.520335980363 28
19.5 51 0.641470071775 0.520263265156 28
19.6 53 0.640104736877 0.520179243262 28
19.7 53 0.638747828743 0.520084139738 28
19.8 53 0.6373996781 0.519978395176 28
19.9 53 0.63606059911 0.519862647252 28
20 54 0.634730884727 0.519737714968 28
20.1 56 0.633410808746 0.519604566607 28
20.2 56 0.632100614842 0.519464290572 28
20.3 56 0.630800522328 0.519318065511 28
20.4 55 0.629510720965 0.519167129469 28
20.5 56 0.628231369739 0.519012737207 28
20.6 57 0.626962597715 0.518856134338 28
20.7 56 0.625704499503 0.518698527832 28
20.8 56 0.624457138661 0.518541055329 28
20.9 57 0.623220548841 0.51838476212 28
21 58 0.621994730192 0.518230581529 28
21.1 57 0.620779653496 0.518079319133 28
21.2 59 0.619575257639 0.517931646853 28
21.3 59 0.61838145382 0.517788094786 28
21.4 59 0.617198126228 0.517649049626 28
21.5 60 0.616025132622 0.517514764846 28
21.6 62 0.614862308978 0.517385372178 28
21.7 61 0.613709469417 0.517260876188 28
21.8 64 0.612566407815 0.51714119161 28
21.9 64 0.611432903827 0.517026151829 28
22 63 0.610308722638 0.516915524277 28
22.1 63 0.609193616072 0.516809028888 28
22.2 64 0.60808732807 0.516706367953 28
22.3 65 0.606989600028 0.516607228365 28
22.4 66 0.605900166287 0.516511306519 28
22.5 68 0.604818762952 0.516418322851 29
22.6 67 0.603745127653 0.516328020858 29
22.7 66 0.602679005679 0.516240191195 29
22.8 68 0.601620145249 0.516154661318 30
22.9 67 0.600568309247 0.516071302944 30
