iteration m energy
1 12 -30.1794856241
2 40 -30.199668174
3 65 -30.1997123078
4 69 -30.1997123147
5 70 -30.1997123147
6 70 -30.1997123147
7 70 -30.1997123147
8 70 -30.1997123147
9 70 -30.1997123147
10 70 -30.1997123147
11 70 -30.1997123147
12 70 -30.1997123147
13 70 -30.1997123147
14 70 -30.1997123147
15 70 -30.1997123147
16 70 -30.1997123147
17 70 -30.1997123147
18 70 -30.1997123147
19 70 -30.1997123147
20 70 -30.1997123147
8.9 84 0.822081345166 0.522878598473
9 85 0.82004718289 0.522933020533
9.1 86 0.818024621457 0.52299373539
9.2 87 0.816013942794 0.52305567869
9.3 88 0.814015317307 0.523113905811
9.4 90 0.812028805441 0.523163825759
9.5 91 0.810054358242 0.523201406323
9.6 92 0.808091820813 0.523223343399
9.7 93 0.806140937331 0.523227190809
9.8 94 0.804201356621 0.523211447663
9.9 95 0.802272638552 0.523175602097
10 96 0.800354262815 0.523120131842
10.1 97 0.79844563885 0.52304646477
10.2 98 0.796546112152 0.522956899704
10.3 99 0.794654978065 0.522854498076
10.4 99 0.792771492524 0.522742946219
10.5 100 0.790894883367 0.522626397783
10.6 101 0.789024362857 0.522509302808
10.7 102 0.787159136681 0.522396228046
10.8 102 0.785298418616 0.522291680678
10.9 103 0.783441440257 0.52219993638
11 104 0.781587462426 0.522124881489
11.1 105 0.779735784963 0.52206987273
11.2 107 0.77788575627 0.522037620272
11.3 108 0.776036781643 0.522030096787
11.4 109 0.774188328619 0.522048474873
11.5 110 0.772339938075 0.522093094939
11.6 111 0.770491223898 0.522163461909
11.7 113 0.768641879616 0.522258271968
11.8 114 0.766791680062 0.522375466169
11.9 114 0.764940483911 0.522512307754
12 115 0.763088232574 0.522665481345
12.1 116 0.761234950557 0.522831206914
12.2 117 0.759380742298 0.52300536713
12.3 118 0.757525790021 0.523183641195
12.4 120 0.755670349023 0.523361641431
12.5 121 0.753814745112 0.523535045839
12.6 122 0.751959365719 0.523699726692
12.7 123 0.750104655657 0.523851865013
12.8 125 0.748251111123 0.523988052492
12.9 126 0.746399272086 0.52410537559
13 128 0.744549715506 0.524201480194
13.1 129 0.742703047821 0.524274615738
13.2 130 0.740859897881 0.524323657915
13.3 131 0.73902090905 0.524348110406
13.4 133 0.737186732308 0.52434808654
13.5 134 0.735358019437 0.524324272491
13.6 135 0.733535414899 0.524277873991
13.7 136 0.731719552826 0.524210549577
13.8 138 0.7299110472 0.524124333002
13.9 139 0.728110487677 0.524021548727
14 141 0.726318433054 0.523904722281
14.1 142 0.724535408665 0.523776490972
14.2 145 0.722761900692 0.523639516334
14.3 145 0.720998352885 0.52349640252
14.4 146 0.719245163057 0.523349621712
14.5 148 0.717502681251 0.523201450512
14.6 150 0.715771204544 0.523053917797
14.7 152 0.714050978854 0.522908765552
