chain_green_irlm_ref_v1 L 100 U 0.20000000000000001 V 0.10000000000000001 dt 0.10000000000000001 steps 201
# t ReG00 ImG00 ReG01 ImG01 m
9.0999999999999996 -0.18864100718449006 -0.33530287372365108 -0.10743335340722449 -0.053311093156006198 150
9.2000000000000011 -0.18940617631436829 -0.33370515740246443 -0.10741223784383661 -0.052096765170577854 150
9.3000000000000007 -0.19015258916329081 -0.33210841033270194 -0.10734848764344065 -0.05086041330159119 150
9.4000000000000004 -0.19088000074937733 -0.33051339378508759 -0.10723971851695212 -0.049606751209413109 150
9.5 -0.19158824895434606 -0.32892089027098581 -0.10708406213531665 -0.048340621309902396 150
9.6000000000000014 -0.19227725439570559 -0.32733169474109458 -0.10688016712604528 -0.047066944626739611 150
9.7000000000000011 -0.19294701934066991 -0.32574660616307205 -0.10662719549684713 -0.045790671288582357 150
9.8000000000000007 -0.19359762593836372 -0.32416641941837321 -0.10632481468038343 -0.044516732367364087 150
9.9000000000000004 -0.19422923370183362 -0.32259191770504358 -0.10597318533078677 -0.043249993273522414 150
10 -0.19484207645792531 -0.3210238653206704 -0.10557294516808884 -0.041995209255160725 150
10.100000000000001 -0.1954364586469404 -0.31946300099207431 -0.10512518900451796 -0.04075698299216389 150
10.200000000000001 -0.19601275117078323 -0.31791003177891147 -0.10463144532430621 -0.039539724911494843 150
10.300000000000001 -0.19657138681744613 -0.31636562752068931 -0.10409364963894294 -0.038347616318748001 150
10.4 -0.19711285536667078 -0.314830415840473 -0.10351411498902834 -0.037184575733884569 150
10.5 -0.19763769836462866 -0.31330497772326077 -0.10289549988336698 -0.036054228444826857 150
10.600000000000001 -0.19814650364259542 -0.3117898437310298 -0.10224077404439975 -0.034959879617216298 150
10.700000000000001 -0.19863989983091468 -0.31028549068667111 -0.10155318225597361 -0.03390449092648485 150
10.800000000000001 -0.19911855049636645 -0.30879233901132569 -0.1008362069891416 -0.032890660967223567 150
10.9 -0.19958314836806368 -0.30731075057845686 -0.10009352896050806 -0.031920609834225691 150
11 -0.20003440943963546 -0.30584102700554122 -0.099328988270834292 -0.030996166911355063 150
11.100000000000001 -0.20047306713654284 -0.30438340872797637 -0.098546544250551593 -0.030118763006314019 150
11.200000000000001 -0.20089986653037237 -0.30293807446433479 -0.097750235494880072 -0.029289426132133568 150
11.300000000000001 -0.20131555852746696 -0.30150514095286779 -0.0969441404365564 -0.028508781066404417 150
11.4 -0.20172089422536901 -0.30008466343068946 -0.096132337712641638 -0.027777053021840692 150
11.5 -0.20211661935498651 -0.29867663646645604 -0.095318868737710366 -0.027094074084323315 150
11.600000000000001 -0.202503468915015 -0.29728099533516467 -0.094507700730147609 -0.026459293664762275 150
11.700000000000001 -0.20288216200499065 -0.29589761771305184 -0.093702691549276448 -0.025871792035370805 150
11.800000000000001 -0.20325339680486018 -0.29452632584336458 -0.092907556392720289 -0.025330296951281587 150
11.9 -0.20361784583144379 -0.29316688910324723 -0.092125836576194248 -0.024833203100147576 150
12 -0.2039761514907053 -0.29181902698169271 -0.091360870667930416 -0.02437859415317516 150
12.100000000000001 -0.20432892192040239 -0.2904824123660123 -0.090615768148782708 -0.023964267175141028 150
12.200000000000001 -0.20467672716995505 -0.28915667517812205 -0.089893385808013926 -0.023587759065510732 150
12.300000000000001 -0.20502009570321403 -0.28784140634395367 -0.08919630700503603 -0.023246374852699606 150
12.4 -0.20535951133865168 -0.286536162019007 -0.088526823908810559 -0.022937217429344507 150
12.5 -0.20569541050414031 -0.28524046803977732 -0.087886922848218696 -0.022657218532592904 150
12.600000000000001 -0.20602817995663955 -0.28395382466146207 -0.087278272779663824 -0.022403170574248902 150
12.700000000000001 -0.20635815506285624 -0.28267571139392916 -0.086702216990808961 -0.022171759128624676 150
12.800000000000001 -0.20668561842657987 -0.28140559203509108 -0.08615976794693124 -0.021959595603598434 150
12.9 -0.20701079904883923 -0.28014291980052725 -0.085651605369903669 -0.02176324996262919 150
13 -0.20733387190185065 -0.27888714240973789 -0.085178077315691728 -0.02157928300403367 150
13.100000000000001 -0.20765495812510562 -0.27763770724531095 -0.084739204576254154 -0.021404278129842021 150
13.200000000000001 -0.20797412563916826 -0.27639406649394749 -0.084334687687762616 -0.021234872474246023 150
13.300000000000001 -0.20829139027063395 -0.27515568210254571 -0.083963916806008607 -0.021067786191580628 150
13.4 -0.20860671741155312 -0.27392203061258058 -0.083625984577536394 -0.020899851226982746 150
13.5 -0.20892002406459581 -0.2726926077986333 -0.083319701064883622 -0.020728037820900064 150
13.600000000000001 -0.20923118136636409 -0.27146693308032155 -0.083043611481259216 -0.020549479326695055 150
13.700000000000001 -0.20954001754428317 -0.27024455357164406 -0.082796015646021043 -0.020361495080342178 150
13.800000000000001 -0.20984632120325847 -0.26902504782212483 -0.08257498944572185 -0.020161611020346054 150
13.9 -0.21014984501904749 -0.26780802921859492 -0.08237840801941046 -0.01994757790363608 150
14 -0.21045030965420056 -0.26659314887569441 -0.082203970086308906 -0.019717387190454426 150
14.100000000000001 -0.21074740794694313 -0.26538009823316056 -0.08204922352323761 -0.019469284267533266 150
14.200000000000001 -0.21104080928249302 -0.26416861110952722 -0.081911592181857382 -0.019201778980184936 150
14.300000000000001 -0.21133016421246528 -0.26295846526385469 -0.081788402893370776 -0.018913653570133974 150
14.4 -0.21161510907637582 -0.26174948353258271 -0.081676912972964533 -0.018603967751879565 150
14.5 -0.21189527067765149 -0.26054153442255712 -0.081574337840962644 -0.018272061327144127 150
14.600000000000001 -0.2121702709413559 -0.25933453229959402 -0.081477878430395972 -0.017917553930135222 150
14.700000000000001 -0.21243973159017859 -0.25812843699528087 -0.081384748300951548 -0.017540342300847375 150
14.800000000000001 -0.21270327862879404 -0.25692325304276803 -0.081292199903692589 -0.017140594847618717 150
14.9 -0.21296054668096148 -0.25571902843991323 -0.081197550259750825 -0.016718743644551268 150
15 -0.2132111831808485 -0.25451585294223217 -0.08109820470874142 -0.016275474846731166 150
15.100000000000001 -0.21345485227432451 -0.25331385605184459 -0.080991680588289122 -0.015811715924636035 150
15.200000000000001 -0.2136912383987673 -0.25211320463892534 -0.080875628527477095 -0.015328621460232488 150
15.300000000000001 -0.21392004967866141 -0.2509141002322135 -0.080747852275318679 -0.014827556934570092 150
15.4 -0.21414102087835735 -0.24971677598638148 -0.080606326808017492 -0.014310080942963828 150
15.5 -0.21435391606871032 -0.24852149344519053 -0.080449214221494161 -0.013777925721357231 150
15.600000000000001 -0.21455853088161492 -0.24732853916486033 -0.080274877769118569 -0.013232976591343811 150
15.700000000000001 -0.21475469442888373 -0.24613822108966082 -0.08008189361287904 -0.012677250311352906 150
15.800000000000001 -0.21494227080736547 -0.24495086486031825 -0.079869060382210602 -0.01211287263899005 150
15.9 -0.21512116019231231 -0.24376681002737483 -0.079635406433644904 -0.011542055213870991 150
16 -0.21529129961858667 -0.242586406268501 -0.079380194725684999 -0.010967072127425726 150
16.100000000000001 -0.2154526632398194 -0.24141000953807401 -0.07910292547801262 -0.010390236357750908 150
16.199999999999999 -0.21560526237474262 -0.24023797833460028 -0.078803336450856187 -0.0098138762318727545 150
16.300000000000001 -0.21574914512522833 -0.23907066998761994 -0.078481400985806485 -0.0092403122287953252 150
16.400000000000002 -0.215884395594342 -0.2379084371902366 -0.078137324049809428 -0.0086718342542051567 150
16.5 -0.21601113296858052 -0.23675162448204942 -0.077771535389135102 -0.0081106797565039957 150
16.600000000000001 -0.21612951003981196 -0.23560056491701564 -0.077384681986418999 -0.0075590124188065159 150
16.699999999999999 -0.21623971165149153 -0.23445557700303474 -0.076977617207329235 -0.0070189025225459402 150
16.800000000000001 -0.21634195278488549 -0.23331696184425502 -0.07655138882642995 -0.0064923080653446407 150
16.900000000000002 -0.21643647647738523 -0.23218500039554027 -0.076107225794427316 -0.0059810573463685108 150
17 -0.21652355141101073 -0.23105995113094949 -0.075646522864899035 -0.0054868332478492004 150
17.100000000000001 -0.21660346946705455 -0.22994204777024541 -0.075170824181972046 -0.0050111591656279682 150
17.199999999999999 -0.21667654296138758 -0.22883149744809772 -0.074681805708014526 -0.0045553866904137746 150
17.300000000000001 -0.21674310184042198 -0.22772847905724214 -0.074181256700071641 -0.0041206851460540541 150
17.400000000000002 -0.21680349075361668 -0.22663314189134559 -0.07367106041357166 -0.0037080330566273269 150
17.5 -0.21685806604191302 -0.22554560464802334 -0.073153174261121709 -0.0033182115970936859 150
17.600000000000001 -0.21690719274133644 -0.22446595461375518 -0.072629609588091379 -0.0029518000263005812 150
17.699999999999999 -0.21695124126421858 -0.22339424722335957 -0.072102411280117615 -0.0026091731484997496 150
17.800000000000001 -0.21699058448823882 -0.22233050587472331 -0.071573637396558282 -0.0022905007767582268 150
17.900000000000002 -0.21702559459978937 -0.22127472209421326 -0.071045339014101275 -0.0019957491568458317 150
18 -0.21705664005082689 -0.22022685592553015 -0.070519540477776851 -0.0017246843465531737 150
18.100000000000001 -0.21708408274052002 -0.21918683659157295 -0.069998220242044537 -0.0014768774461104734 150
18.199999999999999 -0.21710827486409465 -0.21815456335826858 -0.069483292429739732 -0.0012517115887165837 150
18.300000000000001 -0.21712955634226158 -0.21712990687355624 -0.068976589368074312 -0.0010483906627240024 150
18.400000000000002 -0.21714825210670669 -0.21611271059177584 -0.068479845153404301 -0.00086594962804811045 150
18.5 -0.21716466967760986 -0.21510279246189154 -0.067994680440201974 -0.00070326622836973959 150
18.600000000000001 -0.21717909684971803 -0.21409994684171024 -0.067522588518202975 -0.00055907406726328273 150
18.699999999999999 -0.21719179963863949 -0.21310394663344873 -0.067064922901139509 -0.00043197685913756777 150
18.800000000000001 -0.21720302048487172 -0.21211454562251306 -0.06662288638445947 -0.00032046370971016601 150
18.900000000000002 -0.21721297662193564 -0.21113148091898248 -0.066197521867660647 -0.00022292529043946118 150
19 -0.2172218588064502 -0.21015447563602815 -0.065789704649218822 -0.00013767063744439921 151
19.100000000000001 -0.21722982995804468 -0.20918324122472309 -0.065400136557132033 -6.2944514658523304e-05 151
19.200000000000003 -0.21723702453438687 -0.20821748066068613 -0.065029341862019294 3.0548770463615727e-06 152
19.300000000000001 -0.21724354804050075 -0.20725689118364343 -0.064677664999391773 6.2157890988023942e-05 153
19.400000000000002 -0.21724947670837938 -0.20630116716323779 -0.064345269912192735 0.00011620565636135351 153
19.5 -0.21725485765083721 -0.20535000296112249 -0.06403214121646128 0.00016703232734188942 153
19.600000000000001 -0.2172597088185684 -0.20440309565637818 -0.063738087164706123 0.00021644768967482922 154
19.700000000000003 -0.21726401993998937 -0.20346014795141684 -0.063462744168219704 0.00026622011027233245 154
19.800000000000001 -0.21726775328116113 -0.20252087083281886 -0.063205582927859619 0.00031806044417291058 155
19.900000000000002 -0.21727084477164268 -0.20158498619150531 -0.062965916069327957 0.00037360651809782339 155
20 -0.21727320535554417 -0.20065222928102108 -0.062742907208725843 0.0004344085961257178 156
