# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=chain
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
12.8 200 114 6.386597 0.718157887784 0.484197307333
12.9 200 114 6.381678 0.716183254186 0.484667386668
13 200 114 6.391923 0.714214979672 0.485121292501
13.1 200 114 6.394564 0.71225316799 0.485556577487
13.2 200 114 6.404807 0.710297941208 0.48597146347
13.3 200 114 6.421457 0.708349445996 0.48636484589
13.4 200 114 6.436723 0.706407846109 0.486736270569
13.5 200 114 6.42192 0.704473320239 0.487085891302
13.6 200 114 6.435952 0.702546059368 0.487414408621
13.7 200 114 6.434969 0.700626272523 0.487722994625
13.8 200 114 6.448565 0.698714172679 0.488013203356
13.9 200 114 6.452981 0.696809996212 0.488286878519
14 200 114 6.467473 0.694913976454 0.488546051888
14.1 200 114 6.464294 0.693026347333 0.48879284597
14.2 200 114 6.485226 0.691147350389 0.489029379075
14.3 200 114 6.475662 0.689277234357 0.489257679732
14.4 200 114 6.493548 0.68741624713 0.489479608833
14.5 200 114 6.501845 0.685564635929 0.489696796021
14.6 200 114 6.508518 0.683722651598 0.489910591241
14.7 200 114 6.503216 0.681890538142 0.490122029996
14.8 200 114 6.516527 0.680068531284 0.490331815858
14.9 200 114 6.520588 0.678256867883 0.490540319602
15 200 114 6.525138 0.676455763778 0.490747593415
15.1 200 114 6.524539 0.674665427696 0.490953397876
15.2 200 114 6.546562 0.672886059313 0.491157241773
15.3 200 114 6.562686 0.671117832283 0.491358432847
15.4 200 114 6.553779 0.669360911457 0.491556134401
15.5 200 114 6.545946 0.667615438411 0.491749426555
15.6 200 114 6.547961 0.665881538916 0.491937370449
15.7 200 114 6.570063 0.664159314932 0.492119070468
15.8 200 113 6.558152 0.662448842859 0.49229373351
15.9 200 113 6.555881 0.66075017871 0.492460722623
16 200 113 6.566918 0.659063352859 0.492619601689
16.1 200 113 6.57438 0.657388375867 0.492770171569
16.2 200 113 6.578499 0.655725231026 0.492912494098
16.3 200 113 6.586849 0.654073877996 0.493046905249
16.4 200 113 6.599226 0.65243425094 0.493174015655
16.5 200 113 6.61708 0.65080628261 0.493294699401
16.6 200 113 6.613405 0.649189853133 0.493410074027
16.7 200 113 6.615259 0.647584836462 0.493521465654
16.8 200 113 6.623757 0.645991090663 0.493630369172
16.9 200 113 6.633855 0.644408461626 0.493738400478
17 200 113 6.634678 0.642836780615 0.493847243194
17.1 200 112 6.649121 0.64127586591 0.493958593075
17.2 200 111 6.643072 0.639725532548 0.494074101915
17.3 200 111 6.645693 0.638185587802 0.494195322148
17.4 200 111 6.651775 0.636655835908 0.49432365549
17.5 200 111 6.658901 0.635136080147 0.494460306822
17.6 200 111 6.66345 0.633626124716 0.494606244928
17.7 200 111 6.670344 0.632125778335 0.494762171687
17.8 200 111 6.677827 0.63063485623 0.49492850041
17.9 200 111 6.68598 0.629153180314 0.495105344128
18 200 111 6.712441 0.62768058972 0.495292512451
18.1 200 111 6.722436 0.626216924174 0.495489524168
18.2 200 111 6.723171 0.624762028555 0.495695621434
18.3 200 111 6.735966 0.623315768272 0.495909797139
18.4 200 111 6.75247 0.621878023837 0.496130829188
18.5 200 111 6.752413 0.620448687601 0.496357320594
18.6 200 111 6.760758 0.619027666757 0.496587744335
18.7 200 111 6.759263 0.61761488126 0.496820491071
18.8 200 111 6.773661 0.616210264921 0.497053918044
18.9 200 112 6.779551 0.614813765557 0.497286397335
19 200 113 6.789121 0.613425343596 0.497516362061
19.1 200 113 6.795009 0.61204497248 0.497742348723
19.2 200 114 6.807789 0.610672637279 0.497963034561
19.3 200 114 6.818286 0.609308334435 0.498177268779
19.4 200 115 6.831256 0.607952068542 0.498384096551
19.5 200 115 6.826711 0.606603859289 0.498582775429
19.6 200 116 6.839106 0.605263732703 0.498772784222
19.7 200 116 6.856535 0.603931723361 0.49895382374
19.8 200 117 6.857641 0.602607873288 0.499125810049
19.9 200 118 6.857469 0.601292231221 0.499288860859
20 200 119 6.890518 0.599984849967 0.499443275744
20.1 200 120 6.883316 0.598685800371 0.499589509772
20.2 200 121 6.897632 0.597395138532 0.499728148526
20.3 200 121 6.906234 0.596112932681 0.49985987277
20.4 200 122 6.925891 0.594839257008 0.499985425885
20.5 200 123 6.938745 0.593574184483 0.50010558279
20.6 200 123 6.951563 0.592317787038 0.50022111674
20.7 200 124 6.963897 0.591070141761 0.500332769441
20.8 200 125 6.986405 0.589831322965 0.500441225468
20.9 200 126 6.994894 0.588601405584 0.500547090172
21 200 126 7.00287 0.587380464421 0.500650872589
21.1 200 127 7.023869 0.586168570226 0.500752973982
21.2 200 128 7.031029 0.584965790205 0.500853681677
21.3 200 128 7.045532 0.583772189051 0.50095316834
21.4 200 129 7.105135 0.58258782348 0.501051497114
21.5 200 129 7.084643 0.581412747251 0.501148630864
21.6 200 130 7.064569 0.580247004552 0.501244446413
21.7 200 130 7.070691 0.579090632087 0.501338751772
21.8 200 130 7.089643 0.577943659802 0.501431306096
21.9 200 131 7.10911 0.576806110576 0.501521841282
22 200 132 7.121099 0.575677999236 0.501610083693
22.1 200 133 7.131532 0.574559332018 0.50169577779
22.2 200 134 7.148972 0.573450094539 0.501778706484
22.3 200 134 7.159843 0.572350268571 0.501858708432
22.4 200 135 7.16808 0.571259825425 0.501935694371
22.5 200 136 7.180447 0.570178726153 0.502009659164
22.6 200 137 7.213977 0.569106933304 0.502080687729
