# SIAM impurity greater Green function, spin-symmetric FBR
# L=500 U=0.025 V=0.1 dt=0.1 tmax=250 E_gs=-158.222021525
# t  n_active  bond_dim  wall_s  ReG00  ImG00  n0  ReC0n  ImC0n  E_psi0  E_B
4.8 184 31 12.411832 -0.0904422540492 -0.461666650747 0.499999951093 -0.236903050562 4.49771070307e-07 -0.101758896472 -0.0759891057002
4.9 188 31 15.597794 -0.0916204298014 -0.460637097223 0.499999960885 -0.236902404288 5.22102129154e-07 -0.101758654094 -0.0763714525074
5 192 30 14.083246 -0.0927806286215 -0.459615744664 0.499999972041 -0.236901678378 5.92553839227e-07 -0.101758379474 -0.0767338104027
5.1 196 30 13.982559 -0.0939239307935 -0.458602723632 0.49999998462 -0.236900883297 6.57648937515e-07 -0.101758075117 -0.0770764180055
5.2 200 30 17.669666 -0.0950513824655 -0.457598100752 0.499999998465 -0.236900027288 7.17508034419e-07 -0.101757745056 -0.0773996067106
5.3 204 32 16.398718 -0.0961640009868 -0.456601866354 0.500000013561 -0.236899118671 7.75573031919e-07 -0.101757392188 -0.0777037999771
5.4 208 31 16.573504 -0.0972627619032 -0.455613947996 0.500000029684 -0.2368981664 8.27850643943e-07 -0.101757019555 -0.0779895032302
5.5 212 32 16.374567 -0.0983486017315 -0.454634210709 0.500000046549 -0.236897175398 8.58734486906e-07 -0.101756630517 -0.0782572939571
5.6 216 33 18.947274 -0.0994224143853 -0.453662459348 0.500000064061 -0.236896153211 8.86641653194e-07 -0.101756226664 -0.0785078281203
5.7 220 31 18.16344 -0.100485040697 -0.452698450278 0.500000082058 -0.236895112572 9.09795681721e-07 -0.101755813877 -0.07874182473
5.8 224 36 20.718588 -0.101537273973 -0.451741890494 0.500000100511 -0.236894061525 9.24545230815e-07 -0.101755395066 -0.0789600539218
5.9 228 32 19.545753 -0.102579856659 -0.450792441727 0.500000119127 -0.236893008791 9.24873623945e-07 -0.101754972195 -0.0791633485415
6 232 32 22.096884 -0.103613471054 -0.449849733664 0.500000137706 -0.236891957407 9.20849547704e-07 -0.10175454976 -0.0793525746809
6.1 236 33 23.725011 -0.104638747909 -0.448913358366 0.500000156053 -0.236890917479 9.11228013268e-07 -0.101754130217 -0.0795286405913
6.2 240 32 21.959087 -0.10565625814 -0.447982882976 0.500000173936 -0.236889896391 8.8288632988e-07 -0.101753716621 -0.079692481416
6.3 244 33 23.051329 -0.106666513791 -0.447057854773 0.500000191248 -0.236888903638 8.44733287271e-07 -0.101753313077 -0.0798450571566
