bench_green_cost_siam_v2 L 80 U 0.025 dt 0.1 nStep 400 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
12.6  0.120313 0.146957 12 8   1.18182 0.00940288 22   0.0016341
12.7  0.113927 0.146013 12 8   1.18328 0.00943375 23   0.00108334
12.8  0.113933 0.145245 12 8   1.18244 0.00941332 23   0.00137074
12.9  0.127237 0.145827 12 8   1.18174 0.00940143 23   0.00336725
13  0.114286 0.150466 12 8   1.1814 0.00942127 23   0.00240505
13.1  0.1075 0.148588 12 8   1.18459 0.00939848 23   0.000712129
13.2  0.100411 0.146341 12 9   1.18829 0.00942308 23   0.00216836
13.3  0.12748 0.145254 12 9   1.18853 0.00945386 23   0.0012952
13.4  0.120797 0.148211 12 9   1.18916 0.0094419 23   0.00341569
13.5  0.113561 0.142093 12 9   1.18957 0.00940997 23   0.00149694
13.6  0.113911 0.146215 12 9   1.19185 0.00940175 24   0.000420585
13.7  0.113531 0.141598 12 9   1.19108 0.00946109 24   0.000842349
13.8  0.120068 0.144341 12 9   1.19074 0.0094222 24   0.00140544
13.9  0.127094 0.149443 12 9   1.19207 0.00948458 24   0.00152441
14  0.121057 0.149347 12 9   1.18994 0.00943686 24   0.00184358
14.1  0.126968 0.150606 12 9   1.18925 0.00942308 24   0.00095837
14.2  0.120792 0.149041 12 9   1.19231 0.00945573 24   0.00229937
14.3  0.120753 0.152182 12 9   1.19134 0.00945615 25   0.00277081
14.4  0.13339 0.151976 12 9   1.19126 0.0094119 25   0.00258087
14.5  0.120959 0.152106 12 9   1.19074 0.00945026 25   0.00380511
14.6  0.120787 0.151318 12 9   1.19247 0.00943446 25   0.00168184
14.7  0.120683 0.154009 12 9   1.19188 0.00945725 25   0.00156829
14.8  0.126851 0.151761 12 9   1.19191 0.00945237 25   0.00390855
14.9  0.120681 0.145888 12 9   1.19219 0.00941412 25   0.00364508
15  0.120385 0.137247 12 9   1.19236 0.00943134 25   0.00162899
15.1  0.11994 0.138633 12 9   1.19208 0.00939809 25   0.000884942
15.2  0.113909 0.139241 12 9   1.19208 0.00944094 25   0.00163516
15.3  0.106936 0.145672 12 9   1.193 0.00943859 25   0.00179601
15.4  0.113976 0.145545 12 9   1.19413 0.00940388 25   0.00565734
15.5  0.127487 0.146082 12 9   1.19325 0.00941426 25   0.00912776
15.6  0.11479 0.156171 12 9   1.19361 0.00943017 25   0.00503246
15.7  0.127637 0.140702 12 9   1.19442 0.00944421 25   0.00549604
15.8  0.121466 0.140945 12 9   1.19505 0.00943614 25   0.0129145
15.9  0.114353 0.156941 12 9   1.19396 0.00940957 25   0.00511096
16  0.121174 0.155086 12 9   1.19492 0.0094339 25   0.00502767
16.1  0.10806 0.145286 12 9   1.19587 0.00944798 25   0.0136945
16.2  0.101273 0.14925 12 9   1.19683 0.00945641 25   0.020297
16.3  0.107976 0.146451 12 9   1.19649 0.00940322 25   0.0124123
16.4  0.108118 0.149781 12 9   1.19684 0.00944205 25   0.00333179
16.5  0.101635 0.147609 12 9   1.19764 0.00943335 25   0.00896962
16.6  0.10839 0.149784 12 8   1.19736 0.00944126 25   0.00294527
