# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=star
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
17.1 200 59 4.153393 0.640903001115 0.49409491639
17.2 200 60 4.612711 0.639347484966 0.494185941414
17.3 200 60 5.505213 0.637802784837 0.494281508409
17.4 200 60 5.428265 0.636268720548 0.494383721021
17.5 200 61 5.435825 0.63474511506 0.494494488098
17.6 200 61 5.487298 0.633231787499 0.494615461707
17.7 200 61 5.51919 0.631728557721 0.494747984274
17.8 200 61 5.55583 0.630235248037 0.494893046967
17.9 200 61 5.600453 0.628751687383 0.49505125935
18 200 61 5.658717 0.627277710865 0.495222830039
18.1 200 62 5.782731 0.625813160265 0.495407566796
18.2 200 62 5.763304 0.624357886448 0.495604912301
18.3 200 62 5.38128 0.6229117531 0.495814064815
18.4 200 62 3.831464 0.621474630113 0.496033774333
18.5 200 63 3.852761 0.620046404389 0.496262460386
18.6 200 64 3.873342 0.618626974445 0.496498314703
18.7 200 64 3.982983 0.617216245996 0.496739357208
18.8 200 65 4.045071 0.61581413855 0.496983493709
18.9 200 65 4.093949 0.6144205826 0.497228582914
19 200 66 4.107121 0.613035518596 0.497472512294
19.1 200 66 4.241941 0.611658897422 0.4977132527
19.2 200 66 4.177837 0.61029067926 0.497948921635
19.3 200 66 4.158025 0.608930832586 0.498177832907
19.4 200 66 4.181692 0.607579333804 0.498398542152
19.5 200 66 4.179964 0.606236165443 0.49860987453
19.6 200 66 4.152446 0.604901317676 0.498810950048
19.7 200 66 4.186857 0.603574798917 0.499001155708
19.8 200 66 4.233456 0.602256597949 0.499180263323
19.9 200 67 4.266323 0.600946720141 0.499348301616
20 200 67 4.887251 0.599645175977 0.499505573555
20.1 200 68 4.293582 0.598351978653 0.49965262885
20.2 200 68 4.287821 0.597067130709 0.499790260008
20.3 200 68 4.301649 0.595790671307 0.499919353798
20.4 200 68 4.267041 0.594522624333 0.500040962544
20.5 200 68 4.37906 0.593263018039 0.500156211366
20.6 200 69 4.923734 0.592011883332 0.500266250665
20.7 200 69 4.76328 0.590769253166 0.500372210294
20.8 200 69 4.959016 0.589535162833 0.500475157269
20.9 200 69 4.694251 0.588309650607 0.500576055933
21 200 69 5.152716 0.587092755178 0.500675736638
21.1 200 69 5.23421 0.585884517402 0.500774869862
21.2 200 70 4.780584 0.584684979526 0.500873947
21.3 200 70 4.780848 0.583494181679 0.500973278074
21.4 200 70 4.799087 0.582312165374 0.501072986117
21.5 200 71 4.794839 0.581138969733 0.501173015907
21.6 200 71 4.827671 0.57997463557 0.501273146326
21.7 200 72 4.994783 0.578819196044 0.501373019117
21.8 200 72 5.099321 0.577672682189 0.501472162586
21.9 200 72 5.339626 0.57653512157 0.501570027507
22 200 72 5.917342 0.575406536051 0.501666017755
22.1 200 72 5.326875 0.574286943547 0.50175952832
22.2 200 73 4.913842 0.573176352139 0.501849979039
22.3 200 73 5.076645 0.572074766987 0.501936849035
22.4 200 73 5.047476 0.570982183366 0.502019707926
22.5 200 73 5.053699 0.569898594207 0.502098245084
22.6 200 73 5.079524 0.568823978845 0.502172288713
22.7 200 73 5.095817 0.567758310311 0.502241818438
22.8 200 74 5.152931 0.56670155099 0.502306974269
22.9 200 74 5.84364 0.565653662211 0.50236805751
23 200 74 5.880699 0.564614594562 0.502425526817
23.1 200 74 6.159449 0.563584292156 0.502479983743
23.2 200 74 5.283202 0.5625626927 0.502532155657
23.3 200 74 5.138552 0.561549727965 0.502582870887
23.4 200 75 5.219177 0.560545325692 0.502633029842
23.5 200 76 6.235887 0.559549409738 0.502683575127
23.6 200 76 6.26194 0.558561899251 0.502735459901
23.7 200 76 5.233575 0.557582713153 0.502789611372
23.8 200 76 5.245735 0.55661176822 0.502846900463
23.9 200 76 5.325899 0.55564897951 0.50290810202
24 200 76 5.311512 0.554694263914 0.502973870661
24.1 200 76 6.615867 0.553747539133 0.503044717311
24.2 200 76 5.962607 0.552808723103 0.503120989365
24.3 200 77 6.823174 0.551877738265 0.503202855137
24.4 200 78 6.570051 0.550954507354 0.503290302379
24.5 200 78 6.475648 0.550038961326 0.503383136499
24.6 200 79 5.697731 0.54913103144 0.503480989452
24.7 200 79 5.656148 0.548230654348 0.503583326237
24.8 200 80 5.748923 0.547337769826 0.503689468126
24.9 200 80 5.747687 0.546452320819 0.503798614219
25 200 80 5.669617 0.545574268843 0.503909833466
25.1 200 80 5.954962 0.544703550306 0.504022199838
25.2 200 80 5.918358 0.543840118462 0.504134719184
25.3 200 80 5.733265 0.542983930434 0.50424639613
25.4 200 80 7.806802 0.542134945617 0.504356267393
25.5 200 80 8.037306 0.541293124954 0.50446343116
25.6 200 80 5.573597 0.540458432488 0.504567074171
25.7 200 80 5.791574 0.53963083309 0.50466649628
25.8 200 80 5.806947 0.538810294113 0.504761129674
25.9 200 80 6.298586 0.537996782289 0.504850551397
26 200 80 7.179198 0.537190264727 0.504934587302
26.1 200 81 8.041894 0.536390708871 0.505013630918
26.2 200 81 7.489216 0.53559808713 0.505087869059
26.3 200 81 6.579543 0.534812370243 0.505157447676
26.4 200 81 6.601121 0.534033530002 0.505222620688
26.5 200 82 6.425323 0.533261538858 0.505283738314
26.6 200 82 7.679409 0.532496369804 0.505341222527
26.7 200 82 8.051508 0.531737997527 0.505395545729
26.8 200 82 6.177666 0.53098639634 0.505447207792
26.9 200 83 6.009483 0.530241543332 0.50549671286
27 200 83 6.046318 0.529503414928 0.505544545873
27.1 200 83 6.0323 0.528771989264 0.505591148573
27.2 200 83 6.056902 0.528047245343 0.505636902007
27.3 200 84 6.106889 0.527329162055 0.505682111091
27.4 200 84 6.127834 0.526617720082 0.505726990173
27.5 200 84 6.232625 0.525912901171 0.505771656339
27.6 200 84 6.139544 0.52521468666 0.505816115698
27.7 200 85 6.153144 0.524523058072 0.50586023105
27.8 200 85 6.287286 0.523837999642 0.505903784063
27.9 200 85 6.309606 0.523159493229 0.505946513688
28 200 85 6.306486 0.522487518384 0.505988091064
28.1 200 85 6.364183 0.521822056295 0.506028130992
28.2 200 86 6.623143 0.521163086162 0.506066220859
28.3 200 86 6.406668 0.520510585863 0.506101935626
28.4 200 86 6.871279 0.519864531578 0.506134862411
28.5 200 87 6.433338 0.519224895349 0.506164623512
28.6 200 88 6.517337 0.518591650263 0.506190898373
28.7 200 88 6.993236 0.517964764298 0.506213438157
28.8 200 88 7.66696 0.517344204551 0.506232086019
28.9 200 89 6.394881 0.516729932547 0.506246790135
29 200 89 6.520803 0.516121910337 0.506257613548
29.1 200 89 6.477697 0.515520095938 0.506264736287
29.2 200 89 6.604442 0.514924444587 0.506268457052
29.3 200 90 6.581252 0.514334909988 0.50626919105
29.4 200 90 6.596917 0.51375144088 0.506267457557
29.5 200 90 6.63567 0.513173988014 0.506263871235
29.6 200 90 6.704559 0.512602497984 0.506259122583
29.7 200 90 6.753591 0.512036916964 0.506253955702
29.8 200 90 6.708079 0.511477190571 0.506249148374
29.9 200 90 6.671656 0.510923263495 0.506245486813
30 200 90 6.692415 0.510375082258 0.506243744219
30.1 200 91 6.765564 0.509832593828 0.506244653401
30.2 200 91 6.905806 0.509295746434 0.506248882453
30.3 200 91 6.917084 0.508764489925 0.506257011293
30.4 200 92 7.00143 0.508238776136 0.506269517722
30.5 200 93 7.035677 0.507718560419 0.506286751606
30.6 200 93 7.065958 0.507203798155 0.506308932173
30.7 200 93 7.076202 0.506694451347 0.506336133672
30.8 200 93 7.115615 0.506190480828 0.506368280976
30.9 200 93 7.168819 0.505691856399 0.506405150321
31 200 93 7.202603 0.5051985432 0.506446381273
31.1 200 93 7.151152 0.504710510789 0.506491484219
31.2 200 93 7.209769 0.504227736176 0.506539853529
31.3 200 93 7.163174 0.50375019589 0.506590788355
31.4 200 93 7.181771 0.503277867165 0.506643515255
31.5 200 93 10.595511 0.502810729489 0.506697209334
31.6 200 93 11.660731 0.502348763882 0.506751022167
31.7 200 93 10.914117 0.501891952292 0.506804107314
31.8 200 93 7.519221 0.501440277003 0.506855637698
31.9 200 93 11.861373 0.500993719033 0.506904819844
32 200 93 9.040662 0.500552259786 0.506950953144
