# IRLM quench (site 0 full, site 1 empty, bath Fermi sea), method=fbr
# L=200 U=0.2 V=0.1 dt=0.1 tmax=100 cutoff=1e-10 max_bond_dim=1024
# t  n_active  bond_dim  wall_s  n0  n1
17.2 14 30 0.107988 0.639732705492 0.494065002007
17.3 14 30 0.125305 0.638192532799 0.494185822323
17.4 14 31 0.109323 0.636662554745 0.49431361672
17.5 14 31 0.126141 0.635142574359 0.494449599194
17.6 14 32 0.109675 0.63363239557 0.494594743035
17.7 14 31 0.126797 0.63213182643 0.494749761926
17.8 14 31 0.111666 0.630640680382 0.494915081734
17.9 14 32 0.128538 0.629158778486 0.495090823981
18 14 32 0.129188 0.627685950977 0.495276813636
18.1 14 31 0.128896 0.626222038324 0.495472584387
18.2 14 33 0.11296 0.624766892737 0.495677395455
18.3 14 32 0.12955 0.623320378748 0.495890261256
18.4 14 32 0.13079 0.621882373829 0.496109981697
18.5 14 31 0.13221 0.620452769529 0.496335185528
18.6 14 35 0.131415 0.619031471186 0.496564370696
18.7 14 34 0.132532 0.617618398028 0.496795957087
18.8 14 33 0.130796 0.61621348278 0.497028329172
18.9 14 34 0.13067 0.614816672311 0.497259884957
19 14 31 0.130608 0.613427926282 0.497489086787
19.1 14 35 0.131577 0.612047217399 0.49771449702
19.2 14 32 0.131368 0.610674530143 0.4979348171
19.3 14 33 0.13162 0.609309860917 0.498148917152
19.4 14 35 0.115612 0.607953216379 0.498355858719
19.5 14 35 0.132548 0.606604613931 0.498554912556
19.6 14 33 0.132095 0.605264080065 0.49874556712
19.7 14 35 0.114932 0.60393164928 0.498927527628
19.8 14 38 0.116214 0.602607363645 0.499100707492
19.9 14 34 0.132129 0.601291272571 0.499265216586
20 14 36 0.13552 0.599983431001 0.499421341059
20.1 14 34 0.134926 0.598683900265 0.499569517326
20.2 14 34 0.135753 0.597392745747 0.499710303864
20.3 14 35 0.136366 0.596110035809 0.49984435053
20.4 15 34 0.136999 0.594835843774 0.499972364839
20.5 15 38 0.143193 0.593570244134 0.500095080094
20.6 15 40 0.126379 0.592313313731 0.500213225254
20.7 15 39 0.127699 0.591065128752 0.500327493815
20.8 15 40 0.128408 0.589825766945 0.500438521084
20.9 16 42 0.12953 0.588595303802 0.500546862821
21 16 40 0.154441 0.587373814147 0.500652979028
21.1 16 41 0.153645 0.586161370439 0.500757223412
21.2 15 41 0.154476 0.584958040776 0.500859839261
21.3 16 43 0.132642 0.583763888962 0.500960959644
21.4 16 41 0.157497 0.582578973745 0.501060613013
21.5 16 41 0.156913 0.581403348017 0.501158734188
21.6 16 41 0.157689 0.580237057928 0.501255178844
21.7 16 41 0.157657 0.579080141928 0.501349741883
21.8 16 42 0.15833 0.577932630005 0.5014421772
21.9 16 41 0.159187 0.576794543424 0.50153222162
22 16 44 0.142119 0.575665893392 0.501619614508
22.1 16 43 0.160717 0.574546681738 0.50170412187
22.2 16 45 0.143635 0.573436900444 0.501785555618
22.3 16 42 0.161989 0.572336529762 0.50186379071
22.4 16 42 0.162126 0.571245540579 0.501938783236
22.5 16 42 0.162929 0.570163892333 0.502010576781
22.6 16 42 0.163748 0.569091534723 0.502079313905
22.7 16 42 0.145562 0.568028407163 0.502145235271
22.8 16 43 0.14694 0.566974439938 0.50220867979
