bench_green_cost_siam_v2 L 40 U 0.025 dt 0.1 nStep 200 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
3.2  0.0728196 0.036504 11 6   0.486972 0.0046215 16   0.000353178
3.3  0.0695999 0.036886 11 6   0.487564 0.00463342 16   0.000309574
3.4  0.0669233 0.0374791 9 6   0.487324 0.00460222 16   0.000290276
3.5  0.0684589 0.0361044 9 6   0.488797 0.00462635 16   0.000384874
3.6  0.0644854 0.0369977 9 6   0.491144 0.00460314 16   0.000360713
3.7  0.0649426 0.0363997 9 6   0.494016 0.00465741 16   0.000358986
3.8  0.0683358 0.0358705 9 6   0.494074 0.00461574 16   0.000355648
3.9  0.0683326 0.0354421 9 6   0.493861 0.00459909 16   0.000350592
4  0.0651626 0.0366174 9 6   0.494619 0.00461535 16   0.000346203
4.1  0.0718961 0.0367071 9 6   0.495274 0.00464297 16   0.000472836
4.2  0.0751714 0.0374835 9 6   0.495461 0.00460558 16   0.000464102
4.3  0.0685447 0.0369148 9 6   0.498944 0.004624 16   0.000453889
4.4  0.0652528 0.039059 9 6   0.50192 0.00463188 16   0.000441365
4.5  0.0651865 0.0387538 10 6   0.503249 0.00464151 16   0.000430368
4.6  0.0710961 0.0422191 10 6   0.503118 0.00462557 16   0.000366662
4.7  0.0709725 0.0422105 10 6   0.503179 0.00460962 16   0.000352871
4.8  0.0777114 0.0422743 10 6   0.504104 0.00463699 16   0.000405106
4.9  0.0742749 0.0448019 10 6   0.504636 0.00460363 16   0.000272361
5  0.0778914 0.0460431 10 6   0.50364 0.00463334 16   0.00026251
5.1  0.0744365 0.0452872 10 6   0.504703 0.00463836 16   0.000253679
5.2  0.074408 0.0453385 10 6   0.504295 0.0046267 16   0.000244878
5.3  0.0749179 0.0459605 11 6   0.504869 0.00460621 16   0.000236804
5.4  0.0698016 0.0464232 11 6   0.505015 0.00462406 16   0.000230139
5.5  0.0914647 0.0449856 11 6   0.505016 0.0046058 16   0.000223049
5.6  0.0732366 0.0436724 11 6   0.504961 0.00461849 16   0.000216782
5.7  0.0801177 0.0414591 11 6   0.506462 0.00459692 16   0.000347261
5.8  0.0769524 0.040835 11 6   0.506271 0.00463044 16   0.000338879
5.9  0.0737183 0.0414638 11 6   0.505575 0.00462238 16   0.000331389
6  0.0734453 0.0424853 11 6   0.50604 0.00464698 16   0.000322403
6.1  0.0736347 0.0414001 12 6   0.506291 0.00464029 16   0.000315707
6.2  0.0753201 0.0431185 12 6   0.506496 0.00460612 16   0.000309856
6.3  0.0748936 0.0442411 12 6   0.507195 0.00462656 16   0.000305169
6.4  0.0796244 0.0443033 11 6   0.508307 0.00463164 16   0.000298723
6.5  0.0749203 0.0443791 12 7   0.508563 0.00463042 16   0.000164696
6.6  0.0797821 0.0447743 12 7   0.509087 0.0045958 16   0.00022642
6.7  0.0765587 0.0457836 11 7   0.510171 0.0046583 16   0.000216367
6.8  0.0758149 0.0471355 12 7   0.508375 0.00462231 16   0.000244271
6.9  0.0803938 0.0466951 12 7   0.504578 0.00459692 17   0.00022592
7  0.0776083 0.0496039 11 7   0.505242 0.00465469 17   0.000210532
7.1  0.0760168 0.0499439 11 7   0.50583 0.00463094 17   0.000209169
7.2  0.0721377 0.0515814 12 7   0.505863 0.00461476 17   0.00020882
7.3  0.0802756 0.0506646 11 7   0.50609 0.00460688 17   0.000205818
7.4  0.0791295 0.0535198 11 7   0.506539 0.00463096 17   0.000203266
7.5  0.0756966 0.0521657 11 7   0.506686 0.00460331 17   0.000213699
7.6  0.0758913 0.0524876 11 7   0.507378 0.00462091 17   0.000209735
7.7  0.0721901 0.0530163 11 7   0.508107 0.00460809 17   0.000203426
7.8  0.07929 0.0523191 11 7   0.508266 0.00464109 17   0.000197174
7.9  0.0756577 0.0518333 11 7   0.50793 0.0046171 17   0.000189747
8  0.0757314 0.0522649 11 7   0.508519 0.00461335 18   0.00018207
8.1  0.0720329 0.0523571 11 7   0.507648 0.00460354 18   0.000173925
8.2  0.0790447 0.0524817 11 7   0.506509 0.00461136 18   0.000165121
8.3  0.0791348 0.0489998 12 7   0.505928 0.00459641 18   0.000153652
8.4  0.0839645 0.0495381 12 7   0.505918 0.00463055 18   0.000108587
8.5  0.0802219 0.0486725 12 7   0.506858 0.00462396 18   0.000100027
8.6  0.0882731 0.0489513 12 7   0.506757 0.00462807 18   7.49445e-05
8.7  0.0778011 0.0512067 12 7   0.508232 0.00463744 19   7.56924e-05
8.8  0.0848976 0.0500779 12 7   0.507993 0.00460918 19   7.62928e-05
8.9  0.0885915 0.0496229 12 7   0.507852 0.00461373 19   5.44396e-05
9  0.0819682 0.0494136 12 7   0.509718 0.00462759 19   5.3782e-05
9.1  0.0818765 0.0502823 12 7   0.509989 0.00461214 19   4.04195e-05
9.2  0.0889989 0.0505414 12 7   0.510122 0.00459919 19   2.46747e-05
9.3  0.0889536 0.0495381 12 7   0.512539 0.00463612 19   3.29507e-05
9.4  0.0927567 0.049487 12 7   0.514412 0.00462015 19   4.9604e-05
9.5  0.0859221 0.0522111 12 7   0.51447 0.00463733 20   6.6228e-05
9.6  0.0823759 0.058101 12 8   0.51805 0.00462966 20   5.92752e-05
9.7  0.0859058 0.0582715 12 8   0.518111 0.00460801 20   5.50758e-05
9.8  0.0787386 0.0598848 12 8   0.519342 0.00463912 20   5.1117e-05
9.9  0.0858925 0.0584618 12 8   0.519686 0.00461203 20   4.94349e-05
10  0.0790092 0.0593095 12 8   0.519412 0.00464383 20   4.78642e-05
10.1  0.0787882 0.0591954 12 8   0.520587 0.00463632 20   4.73331e-05
10.2  0.0792683 0.0587618 12 8   0.521063 0.00465099 20   4.8963e-05
10.3  0.0788625 0.0551964 12 8   0.522776 0.00461947 21   3.75177e-05
10.4  0.07899 0.0557273 12 8   0.521961 0.00464833 21   4.35988e-05
10.5  0.0788669 0.0538177 12 8   0.521324 0.00465494 21   4.83962e-05
10.6  0.0825661 0.0541687 12 8   0.520955 0.00463242 21   5.25891e-05
10.7  0.0824062 0.0548714 12 8   0.52129 0.00462184 21   5.60184e-05
10.8  0.079062 0.053826 12 8   0.520847 0.00462228 21   5.83259e-05
10.9  0.0788751 0.0548267 12 8   0.52219 0.00468327 22   5.09131e-05
11  0.0788499 0.054847 12 8   0.522864 0.00462982 22   5.49313e-05
11.1  0.0790774 0.0546667 12 8   0.523397 0.00463001 22   6.33507e-05
11.2  0.0788263 0.0530268 12 8   0.523593 0.00465927 22   6.99364e-05
11.3  0.0785482 0.0525256 12 8   0.524384 0.00463632 22   7.6404e-05
11.4  0.0790634 0.0583477 12 8   0.524079 0.00463289 22   8.12787e-05
11.5  0.0860892 0.0580677 12 8   0.523947 0.00462453 22   8.49107e-05
11.6  0.0791446 0.0591012 12 8   0.524361 0.00464618 22   8.79469e-05
11.7  0.079509 0.0583084 12 9   0.524396 0.00462029 22   8.63806e-05
11.8  0.0758989 0.0581048 12 8   0.524772 0.00464685 22   8.6294e-05
11.9  0.079646 0.0576063 12 8   0.523439 0.00463169 22   8.69524e-05
12  0.0727578 0.0578604 12 8   0.524591 0.004661 22   8.53822e-05
12.1  0.0798573 0.0584848 12 8   0.525193 0.0046871 22   8.37708e-05
12.2  0.0867414 0.0578065 12 8   0.524344 0.00465608 22   8.30598e-05
12.3  0.079638 0.0565821 12 8   0.524658 0.00463937 22   8.0072e-05
12.4  0.0904257 0.0573925 12 8   0.524154 0.00463116 22   7.84669e-05
12.5  0.0905042 0.0580533 12 8   0.525069 0.00464831 22   7.5718e-05
12.6  0.0902653 0.0579532 12 8   0.525538 0.00465469 22   7.30654e-05
12.7  0.083105 0.0562173 12 8   0.523541 0.00468681 22   7.01159e-05
12.8  0.0939415 0.0543113 12 8   0.524421 0.00464965 22   6.79463e-05
12.9  0.092619 0.0597613 12 8   0.52464 0.00464038 22   6.46346e-05
13  0.0904861 0.0592018 12 8   0.525802 0.00463327 22   6.19388e-05
13.1  0.0870201 0.0615252 12 8   0.524857 0.00464338 22   6.02957e-05
13.2  0.0870414 0.062713 12 8   0.526338 0.00463539 22   5.82238e-05
13.3  0.0798099 0.0608164 12 8   0.52683 0.00464755 22   5.74785e-05
13.4  0.0801261 0.0591473 12 8   0.526804 0.00464323 22   5.70599e-05
13.5  0.0817932 0.0598275 12 8   0.526944 0.0046315 22   5.55085e-05
13.6  0.0840981 0.0558893 12 8   0.527062 0.00463492 22   6.84723e-05
13.7  0.0842936 0.0563325 12 8   0.528024 0.00464849 22   6.94378e-05
13.8  0.0879727 0.0569427 12 8   0.527098 0.00465148 22   6.75953e-05
13.9  0.0804993 0.0574217 12 8   0.52731 0.00467416 22   6.78087e-05
14  0.0807292 0.056831 12 8   0.527432 0.00463127 22   7.20832e-05
14.1  0.080558 0.0570012 12 8   0.536353 0.00464541 22   7.64265e-05
14.2  0.0773774 0.0597636 12 8   0.52836 0.00465844 22   8.63911e-05
14.3  0.0847738 0.0568648 12 8   0.529358 0.00465642 22   7.10782e-05
14.4  0.0772196 0.0574104 12 8   0.531321 0.00467304 22   7.52608e-05
14.5  0.0771122 0.056569 12 8   0.529954 0.0046691 22   0.000100165
14.6  0.0848381 0.057658 12 9   0.529372 0.0046902 22   8.80082e-05
14.7  0.0809627 0.0578579 12 8   0.530065 0.00467031 22   7.57657e-05
14.8  0.0771233 0.058687 12 8   0.529502 0.00466838 22   4.3497e-05
14.9  0.0908601 0.0601533 12 9   0.528931 0.00468804 22   3.01153e-05
15  0.0869231 0.060191 12 9   0.528949 0.00466411 22   1.74443e-05
15.1  0.0846368 0.0565497 12 9   0.528571 0.00465192 22   1.16063e-05
15.2  0.0773927 0.0564026 12 9   0.529331 0.00466844 22   2.3144e-05
15.3  0.0774823 0.0556399 12 9   0.529373 0.00467004 22   3.61923e-05
15.4  0.0848488 0.0532435 12 9   0.530155 0.00464563 22   2.69309e-05
15.5  0.0847074 0.0522189 12 9   0.529324 0.00464866 22   4.27279e-05
15.6  0.0845349 0.0523337 12 9   0.530674 0.00465261 22   5.23726e-05
15.7  0.0883759 0.0533361 12 9   0.529028 0.00465359 22   0.000100157
15.8  0.0845024 0.0553351 12 9   0.529163 0.0046789 22   0.000103089
15.9  0.0883911 0.0555257 12 9   0.529849 0.0046646 22   0.000113478
16  0.0925467 0.0562994 12 9   0.529867 0.00464811 22   0.000152225
16.1  0.0847105 0.0579057 12 9   0.529637 0.00466907 22   0.000218187
16.2  0.0810932 0.0580344 12 9   0.531622 0.00467718 22   0.000237303
16.3  0.0841769 0.0577158 12 9   0.529674 0.00465162 22   0.000203665
16.4  0.084331 0.0577553 12 9   0.530897 0.00466469 22   0.000162446
16.5  0.0915653 0.0587808 12 9   0.531612 0.00468413 22   0.000156835
16.6  0.0877826 0.0572062 12 9   0.530747 0.00465227 22   0.000158145
16.7  0.0919097 0.0565091 12 9   0.532738 0.00462403 22   0.000156811
16.8  0.0875776 0.0560527 12 9   0.531259 0.00462909 22   0.000225172
16.9  0.0877458 0.0562346 12 9   0.532062 0.00466149 22   0.00022522
17  0.0877358 0.0596666 12 9   0.532396 0.0046394 22   0.000170987
17.1  0.0915549 0.0593305 12 9   0.531684 0.00466251 22   0.000157428
17.2  0.0878295 0.0560272 12 9   0.531981 0.00465873 22   0.000243314
17.3  0.0913767 0.0560126 12 9   0.530837 0.00466175 22   0.000149722
17.4  0.0840399 0.0545671 12 9   0.532913 0.00466224 22   0.000236483
17.5  0.0924931 0.0532115 12 9   0.545633 0.00463628 22   0.000276209
17.6  0.0968213 0.0562111 12 9   0.562615 0.00507141 22   0.000258622
17.7  0.0962733 0.0559683 12 9   0.558803 0.00491011 22   0.000252797
17.8  0.0925375 0.0567364 12 9   0.559788 0.00493118 22   0.000222116
17.9  0.0961475 0.0565764 12 9   0.559609 0.0049349 22   0.000202555
18  0.0878626 0.0552661 12 9   0.560687 0.00492671 22   0.000198663
18.1  0.0959443 0.0574799 12 9   0.55918 0.0048381 22   0.000195807
18.2  0.0879861 0.0573273 12 9   0.560912 0.00494977 22   0.000191786
18.3  0.0838859 0.0563675 12 9   0.558109 0.00480873 22   0.000186722
18.4  0.0882125 0.0566266 12 9   0.556817 0.00480755 22   0.000181734
18.5  0.0926043 0.0582369 12 9   0.557783 0.00490879 22   0.000177453
18.6  0.082067 0.0578504 12 9   0.556149 0.00477825 22   0.000171214
18.7  0.0848414 0.0586076 12 9   0.557794 0.00492417 22   0.000165796
18.8  0.0837317 0.0600266 12 9   0.556003 0.00481954 22   0.000160574
18.9  0.0890987 0.0577186 12 9   0.559284 0.00491479 22   0.000155712
19  0.0842423 0.0581185 12 9   0.554619 0.00483961 22   0.000157271
19.1  0.0937626 0.0585178 12 9   0.555872 0.00491799 22   0.000158822
19.2  0.0923708 0.0608673 12 9   0.55656 0.00489091 22   0.000172169
19.3  0.0926659 0.0630228 12 9   0.557166 0.00490124 22   0.000161695
19.4  0.0879924 0.0603633 12 9   0.555798 0.00485199 22   0.000136963
19.5  0.0836335 0.0619057 12 9   0.557392 0.00481844 22   0.000107307
19.6  0.0878922 0.0589123 12 9   0.558975 0.00482595 22   9.06294e-05
19.7  0.0879358 0.0604954 12 9   0.557333 0.00491548 22   8.87498e-05
19.8  0.084576 0.0597246 12 9   0.559321 0.00492186 22   7.88871e-05
19.9  0.0877718 0.0605767 12 9   0.556824 0.0047784 22   7.99446e-05
20  0.0847084 0.0602559 12 9   0.559096 0.00495906 22   8.33479e-05
