bench_green_cost_siam_v2 L 160 U 0.025 dt 0.1 nStep 800 cutoff 0.001
# t  fb_evolve_s fb_measure_s fb_nactive fb_bond   star_evolve_s star_measure_s star_bond   |dG|
37.5  0.193295 1.37055 13 9   2.58627 0.0190665 36   0.0039702
37.6  0.181325 1.43924 13 9   2.58732 0.0190403 36   0.0039417
37.7  0.181547 1.4644 13 10   2.58806 0.0190093 36   0.00397298
37.8  0.180071 1.45548 13 9   2.58922 0.0190104 36   0.00398617
37.9  0.18048 1.61358 13 9   2.59366 0.0190078 36   0.00396484
38  0.194433 1.29754 13 9   2.5962 0.0189885 36   0.00420807
38.1  0.205891 1.37999 13 9   2.59935 0.0190548 36   0.00333394
38.2  0.205754 1.40413 13 9   2.60089 0.0190757 36   0.00365674
38.3  0.194201 1.19858 13 9   2.59841 0.0190696 36   0.00413267
38.4  0.206243 1.21501 13 10   2.60014 0.0189 36   0.0043944
38.5  0.194351 1.71461 13 9   2.60199 0.0191561 36   0.00413945
38.6  0.180795 1.57248 13 9   2.60147 0.0190511 36   0.00405454
38.7  0.168564 1.3697 13 10   2.60094 0.0191465 36   0.00407809
38.8  0.18224 1.28424 13 9   2.60136 0.0190851 36   0.00425773
38.9  0.206239 1.276 13 10   2.60073 0.0190269 36   0.00389158
39  0.194724 1.30412 13 10   2.60174 0.0190426 36   0.00406802
39.1  0.194033 1.43466 13 10   2.60207 0.0191719 36   0.00412603
39.2  0.194592 1.48222 13 9   2.60108 0.0189979 36   0.00417616
39.3  0.168605 1.2202 13 9   2.60097 0.019033 36   0.00423488
39.4  0.194587 1.27471 13 9   2.60004 0.0190998 36   0.00419103
39.5  0.182456 1.30105 13 9   2.60314 0.0191018 36   0.00427008
39.6  0.207615 1.51292 13 9   2.60217 0.019064 36   0.00409926
39.7  0.168912 1.32063 13 9   2.60686 0.0189847 36   0.0039531
39.8  0.183003 1.24996 13 9   2.6045 0.0190757 36   0.00396357
39.9  0.155944 1.16375 13 9   2.60503 0.018994 36   0.00382751
40  0.169502 1.22878 14 9   2.60529 0.0191833 36   0.00415926
40.1  0.196314 1.21157 13 9   2.60564 0.019158 36   0.00362583
40.2  0.16967 1.43036 14 9   2.60622 0.0191004 36   0.00407313
40.3  0.185229 1.58934 13 9   2.60413 0.0190446 36   0.004502
40.4  0.156733 1.59334 14 9   2.60141 0.0190156 36   0.00398538
40.5  0.171503 1.18957 13 9   2.603 0.0191564 36   0.00410932
40.6  0.170107 1.14274 14 9   2.60431 0.0191 36   0.00392418
40.7  0.184426 1.20161 14 9   2.60337 0.0190625 36   0.00459033
40.8  0.184509 1.27673 13 9   2.60282 0.0191118 37   0.00387085
40.9  0.194265 1.181 14 9   2.60447 0.0191025 37   0.00426033
41  0.183102 1.30656 14 9   2.6036 0.0191694 37   0.00450754
41.1  0.170827 2.02219 14 9   2.60346 0.0189957 37   0.00441277
41.2  0.196557 1.36817 14 9   2.60423 0.0190871 37   0.00397313
41.3  0.170967 1.39381 14 9   2.5994 0.0190525 37   0.00404017
41.4  0.196425 1.45699 14 9   2.60351 0.0190794 37   0.00402332
41.5  0.17099 1.35902 14 9   2.60484 0.0190313 37   0.0039717
41.6  0.184587 1.38714 14 9   2.60454 0.0189867 37   0.0039515
41.7  0.197092 1.40419 13 9   2.60231 0.0189916 37   0.0039373
41.8  0.182229 1.46319 13 9   2.6054 0.0190375 37   0.00421428
41.9  0.181104 1.39625 13 10   2.60468 0.0190023 37   0.00392578
42  0.168645 1.84158 13 9   2.60763 0.0190486 38   0.00428109
42.1  0.180961 1.63091 13 9   2.61128 0.0190266 38   0.00428737
42.2  0.194383 1.37872 13 9   2.61261 0.0190776 38   0.00419112
42.3  0.181473 1.43796 13 9   2.6148 0.0190849 38   0.00406034
42.4  0.194805 1.32526 13 9   2.61386 0.0189922 38   0.00370168
42.5  0.193911 1.36351 13 9   2.61183 0.0189877 38   0.00383769
42.6  0.193529 1.24012 13 9   2.61483 0.018963 38   0.00394862
42.7  0.205964 1.39544 13 9   2.6145 0.0190481 38   0.00420655
42.8  0.192865 1.34537 13 9   2.61597 0.0190184 38   0.00421708
42.9  0.206093 1.3716 13 9   2.61569 0.0190458 38   0.00393123
43  0.205979 1.43728 13 9   2.61753 0.0190601 38   0.00399329
43.1  0.183247 1.66709 13 10   2.61615 0.0191076 38   0.00394614
43.2  0.194795 1.52326 13 9   2.62028 0.0191301 39   0.00397378
43.3  0.182113 1.51506 13 9   2.62163 0.0190719 39   0.00397059
43.4  0.180532 1.3653 13 10   2.62561 0.0191487 39   0.00391618
43.5  0.206582 1.37283 13 9   2.62694 0.0189348 39   0.00386125
43.6  0.181157 1.39929 13 10   2.6245 0.0190064 39   0.00391995
43.7  0.181968 1.47048 13 9   2.62349 0.019119 39   0.00392281
43.8  0.194118 1.62032 13 10   2.62453 0.0189038 39   0.00372224
43.9  0.182174 1.75877 13 9   2.62411 0.0188907 39   0.00369691
44  0.194715 1.44781 13 9   2.62424 0.0191423 39   0.00414479
44.1  0.194548 1.35513 13 9   2.62474 0.0188899 39   0.00402425
44.2  0.183095 1.57625 13 9   2.62434 0.0190059 39   0.00403732
44.3  0.194864 1.36981 13 9   2.62181 0.0189003 39   0.00388886
44.4  0.168315 1.67868 13 9   2.62455 0.0192309 39   0.00375887
44.5  0.182045 1.56984 13 10   2.62081 0.0189902 39   0.00441827
44.6  0.181539 1.58886 13 9   2.61948 0.0191324 39   0.003581
44.7  0.182118 1.39751 13 9   2.62159 0.0189494 39   0.00358135
44.8  0.155544 1.39567 13 9   2.62139 0.018963 39   0.00379639
44.9  0.181735 1.31801 13 9   2.62115 0.0189005 39   0.0038309
45  0.169354 1.25019 13 9   2.61959 0.0190982 39   0.00346323
45.1  0.156024 1.51425 13 9   2.62119 0.0190679 39   0.00385412
45.2  0.169122 1.29574 13 9   2.62097 0.0189706 39   0.00386709
45.3  0.167616 1.36288 13 9   2.62144 0.0190801 39   0.00381731
45.4  0.182357 1.51909 13 9   2.61917 0.0190534 39   0.00361403
45.5  0.183304 1.4092 13 9   2.61984 0.0189057 39   0.00378393
45.6  0.155598 1.34311 13 9   2.617 0.0189671 39   0.00412616
45.7  0.181078 1.33336 13 9   2.62121 0.0190012 39   0.00409891
45.8  0.193989 1.51616 13 9   2.62125 0.0190064 40   0.00391429
45.9  0.182178 1.33367 13 9   2.62267 0.0189662 40   0.00413339
46  0.182892 1.31552 13 9   2.62551 0.0189493 40   0.00385468
46.1  0.182847 1.37501 13 9   2.628 0.019047 40   0.00403362
46.2  0.182209 1.37702 13 9   2.62599 0.0190209 40   0.0037678
46.3  0.182014 1.38605 13 9   2.63014 0.01897 40   0.00388282
46.4  0.168619 1.34858 13 9   2.63146 0.0190798 40   0.00391375
46.5  0.182288 1.30059 13 9   2.63203 0.0191296 40   0.0041188
46.6  0.206918 1.35099 13 9   2.63305 0.0190653 41   0.00390759
46.7  0.180554 1.32223 13 9   2.63299 0.0189711 41   0.00378304
46.8  0.168222 1.3285 13 10   2.63512 0.0190303 41   0.00383621
46.9  0.182282 1.28343 13 9   2.63272 0.0190074 41   0.00374207
47  0.180829 1.43799 13 9   2.63458 0.0189906 41   0.00365133
47.1  0.194276 1.42016 13 9   2.63099 0.0190572 41   0.00389314
47.2  0.179967 1.46478 13 9   2.6341 0.0189479 41   0.00362549
47.3  0.191603 1.40554 13 9   2.63562 0.0190528 41   0.00333575
47.4  0.192427 1.29894 13 9   2.6378 0.0189617 41   0.00323182
47.5  0.205835 1.77367 13 9   2.6348 0.0190615 41   0.00374875
47.6  0.207161 2.75914 13 9   2.63543 0.019052 41   0.00343992
47.7  0.193025 1.88014 13 9   2.63682 0.0190972 41   0.00358884
47.8  0.180304 1.97636 13 9   2.63857 0.0190622 41   0.00359494
47.9  0.168715 1.68989 13 9   2.63902 0.0190683 41   0.00339244
48  0.18178 1.32485 13 9   2.64179 0.0191035 41   0.00339655
48.1  0.15504 1.38181 13 9   2.64238 0.0188874 41   0.00354664
48.2  0.181569 1.34191 13 10   2.63985 0.0191562 41   0.00350349
48.3  0.181022 1.55672 13 9   2.63849 0.0190815 41   0.00338297
48.4  0.20631 1.56193 13 9   2.63921 0.019067 41   0.00354678
48.5  0.193165 1.57777 13 9   2.63782 0.0189633 41   0.00330914
48.6  0.205744 1.82483 13 9   2.63786 0.0189553 41   0.00346648
48.7  0.194142 1.70446 13 9   2.6369 0.0189887 41   0.00376361
48.8  0.205444 1.4777 13 9   2.63673 0.0189937 41   0.00360483
48.9  0.154674 1.72271 13 9   2.63816 0.0190067 41   0.00313786
49  0.168633 2.16718 13 9   2.63457 0.0190797 41   0.00320896
49.1  0.180351 1.66521 13 9   2.6359 0.0189861 41   0.00323486
49.2  0.181777 1.63643 13 9   2.63677 0.019012 41   0.00346187
49.3  0.168033 1.69561 13 9   2.63729 0.0190067 41   0.0033252
49.4  0.182301 1.86144 13 9   2.63666 0.018979 41   0.00326798
49.5  0.193599 1.63041 13 9   2.63689 0.0191232 41   0.00299105
49.6  0.167844 4.09184 13 9   2.6395 0.0191041 41   0.00327636
49.7  0.168054 3.99805 13 9   2.63662 0.0189882 41   0.00359686
49.8  0.154729 2.6834 13 9   2.63921 0.0189322 41   0.00349656
49.9  0.166784 1.78747 13 9   2.64036 0.0189115 41   0.00345039
50  0.181179 1.67177 13 9   2.63851 0.0190139 41   0.00295213
50.1  0.168542 1.69513 13 9   2.63844 0.0190529 41   0.00332635
50.2  0.19357 3.13683 13 9   2.64107 0.0189239 41   0.0030664
50.3  0.180476 1.5969 13 9   2.63872 0.0189227 41   0.00277752
50.4  0.181819 1.7956 13 9   2.64123 0.019036 41   0.002713
50.5  0.181754 1.70133 13 9   2.63885 0.019158 41   0.00319937
50.6  0.193803 1.34979 13 9   2.64301 0.0189648 41   0.00295134
50.7  0.194102 1.49111 13 9   2.6388 0.0190194 41   0.00303161
50.8  0.194308 1.36874 13 9   2.63878 0.0189849 41   0.00296987
50.9  0.18358 1.3086 13 9   2.63753 0.0189407 41   0.00296887
51  0.180346 1.46016 13 9   2.63928 0.0191279 41   0.00293745
51.1  0.194346 1.32103 13 9   2.63983 0.01897 41   0.00290285
51.2  0.170021 1.56644 13 9   2.64113 0.0189575 41   0.00285755
51.3  0.182784 1.36644 13 9   2.64195 0.0192159 41   0.00303828
51.4  0.168945 1.39201 13 9   2.64086 0.0189627 41   0.00256821
51.5  0.194136 1.69864 13 9   2.63994 0.0189758 41   0.0027965
51.6  0.15586 1.36324 13 9   2.6416 0.0189437 41   0.00283539
51.7  0.193719 1.73986 13 9   2.64016 0.0189812 41   0.00283315
51.8  0.181747 1.67544 13 9   2.64293 0.01898 42   0.00284061
51.9  0.20567 1.56237 13 9   2.64523 0.0189623 42   0.00277272
52  0.194035 1.56567 13 9   2.64452 0.0190368 42   0.00277416
52.1  0.206619 1.60256 13 9   2.64595 0.0190418 42   0.00287139
52.2  0.192547 1.73314 13 9   2.68136 0.0189558 42   0.00291377
52.3  0.180473 1.55653 13 9   2.65005 0.0192433 42   0.00273155
52.4  0.20638 1.51692 13 9   2.64181 0.0190375 43   0.0027111
52.5  0.168361 1.63725 13 9   2.69488 0.0192298 43   0.00267873
52.6  0.194514 3.47399 13 9   2.6419 0.0189927 43   0.00277543
52.7  0.182261 1.58325 13 9   2.64289 0.0191166 43   0.00272689
52.8  0.180776 1.82335 13 9   2.64247 0.0189986 43   0.00235449
52.9  0.181743 2.37828 13 9   2.64168 0.0189345 43   0.00202823
53  0.181928 1.78535 13 9   2.64218 0.0190476 43   0.00275028
53.1  0.182061 1.67273 13 9   2.64393 0.0190239 43   0.00213854
53.2  0.181901 1.53757 13 9   2.64293 0.01902 43   0.00244359
53.3  0.194382 3.72353 13 9   2.64396 0.0188986 43   0.0028416
53.4  0.181679 4.0201 13 9   2.64524 0.0190059 43   0.00268752
53.5  0.194945 1.93761 13 9   2.64099 0.0189662 43   0.00285196
53.6  0.169167 3.42625 13 9   2.64317 0.0190831 43   0.00252119
53.7  0.194354 2.8732 13 9   2.64482 0.0191375 43   0.00219457
53.8  0.168602 2.03077 13 9   2.64662 0.0189786 43   0.00232627
53.9  0.194259 1.65526 13 9   2.64724 0.0189274 43   0.00177678
54  0.182084 1.4606 13 9   2.64858 0.0189889 43   0.0027834
54.1  0.194898 1.97102 13 10   2.64917 0.0191718 43   0.00226653
54.2  0.156072 1.43275 13 9   2.64926 0.018996 43   0.00240859
54.3  0.168367 1.73789 13 9   2.6481 0.0189714 43   0.00245245
54.4  0.142388 1.69651 13 9   2.64818 0.0190114 43   0.00221219
54.5  0.168466 2.15853 13 9   2.64894 0.0190621 43   0.0023468
54.6  0.156591 1.49224 13 9   2.64585 0.0190378 43   0.00201793
54.7  0.182198 2.25438 13 9   2.64876 0.019219 43   0.00208332
54.8  0.181055 2.28599 13 9   2.65025 0.0190004 44   0.00210246
54.9  0.156101 2.07149 13 9   2.65155 0.0189536 44   0.00215878
55  0.183113 1.59707 13 9   2.65217 0.0189806 44   0.0021312
55.1  0.194706 2.38652 13 9   2.65178 0.0189642 44   0.00217173
55.2  0.182385 1.37096 13 9   2.65099 0.0189714 44   0.00227046
55.3  0.194006 1.39111 13 10   2.65229 0.0190671 44   0.00211048
55.4  0.182469 1.49378 13 9   2.65108 0.0190172 44   0.00210039
55.5  0.182517 1.46991 13 9   2.65357 0.0189653 44   0.00189172
55.6  0.182112 1.42503 13 9   2.65255 0.0190101 44   0.00193655
55.7  0.18226 1.96198 13 9   2.64988 0.0191147 44   0.00213548
55.8  0.206206 1.65052 13 9   2.65299 0.0189137 44   0.00199831
55.9  0.182027 1.70995 13 9   2.67348 0.0189722 44   0.00214876
56  0.182469 1.70651 13 9   2.67304 0.0192873 44   0.00174353
56.1  0.194274 2.20765 13 9   2.65475 0.0188956 44   0.00211382
56.2  0.180736 1.72918 13 9   2.6547 0.0189664 44   0.00209821
56.3  0.168106 1.56393 13 9   2.65825 0.0190094 44   0.00196693
56.4  0.182083 1.62903 13 9   2.65573 0.0191085 44   0.00185044
56.5  0.180571 1.67908 13 9   2.65775 0.0190701 44   0.00204697
56.6  0.193874 2.49143 13 9   2.65681 0.0189958 45   0.00186542
56.7  0.205188 1.50999 13 9   2.66067 0.0190427 45   0.00194829
56.8  0.192704 1.75578 13 9   2.66085 0.0190532 45   0.00215064
56.9  0.20642 2.20848 13 9   2.6559 0.0189491 45   0.0019784
57  0.180729 1.92009 13 9   2.67712 0.0190251 45   0.00183039
57.1  0.192718 1.75807 13 9   2.67831 0.0191365 45   0.00203783
57.2  0.191316 5.05339 13 9   2.65629 0.0188965 45   0.00202351
57.3  0.181109 3.05404 13 9   2.65788 0.0190722 45   0.00202819
57.4  0.168473 2.88409 13 9   2.65647 0.0190003 45   0.00193232
57.5  0.180631 1.43626 13 9   2.65517 0.0190348 45   0.00205839
57.6  0.168852 4.49143 13 9   2.65178 0.0189877 45   0.00215743
57.7  0.181509 1.69555 13 9   2.64941 0.0197576 45   0.00218126
57.8  0.193621 3.15472 13 9   2.65048 0.0189383 45   0.00211214
57.9  0.182137 3.58035 13 9   2.64852 0.0189533 45   0.00223903
58  0.180385 6.05712 13 9   2.64934 0.0190152 45   0.00178178
58.1  0.194653 5.74269 13 9   2.65036 0.0189262 45   0.00187441
58.2  0.181847 2.69938 13 9   2.64983 0.0191363 45   0.00181235
58.3  0.182522 4.11829 13 9   2.64752 0.019088 45   0.00210494
58.4  0.206249 7.66082 13 9   2.65521 0.0192593 45   0.00226259
58.5  0.16809 3.35824 13 9   2.65026 0.0190898 45   0.00203889
58.6  0.168224 4.8784 13 9   2.65037 0.0190133 45   0.00205753
58.7  0.182031 4.34839 13 9   2.65166 0.0191077 45   0.00188851
58.8  0.181502 2.73097 13 9   2.67219 0.0191251 45   0.00205545
58.9  0.19419 2.00415 13 9   2.66613 0.019215 45   0.0022071
59  0.168658 1.84234 13 9   2.65341 0.0189593 45   0.00210145
59.1  0.169418 2.29656 13 9   2.6529 0.0189641 45   0.00199448
59.2  0.167566 2.08868 13 9   2.6573 0.0189764 45   0.00199505
59.3  0.16793 1.74912 13 10   2.65731 0.0189756 45   0.00206777
59.4  0.169293 1.86083 13 10   2.65936 0.0191209 45   0.00221367
59.5  0.170222 1.97612 13 10   2.66004 0.019054 45   0.00202267
59.6  0.180751 6.70002 13 10   2.66058 0.0190583 45   0.00188459
59.7  0.168576 2.46826 13 11   2.65599 0.019148 45   0.00233277
59.8  0.181886 1.94525 13 11   2.65894 0.0189587 45   0.00250138
59.9  0.206349 1.69645 13 11   2.65574 0.0190895 45   0.001952
60  0.181749 1.51628 13 11   2.65608 0.0191685 45   0.00238427
60.1  0.167851 1.83655 13 10   2.65815 0.0189847 45   0.00221062
60.2  0.182171 5.05517 13 10   2.6598 0.0190364 45   0.0022102
60.3  0.169695 1.89568 13 10   2.65871 0.0189832 45   0.00223663
60.4  0.180991 1.85082 13 10   2.65992 0.0189272 45   0.00212118
60.5  0.182122 1.44217 13 10   2.6624 0.0190864 46   0.00331457
60.6  0.167979 1.4848 13 10   2.66273 0.0189427 46   0.00225798
60.7  0.180569 2.55784 13 10   2.66321 0.0189744 46   0.0024579
60.8  0.182174 4.37093 13 10   2.66313 0.0190163 46   0.00224933
60.9  0.193866 1.69231 13 10   2.66383 0.0190263 46   0.00226527
61  0.193924 1.64943 13 10   2.66373 0.0192163 46   0.0025972
61.1  0.182125 1.73506 13 10   2.6641 0.0189872 46   0.00243076
61.2  0.206206 2.24971 13 10   2.66569 0.0189455 46   0.00227085
61.3  0.192361 1.74494 13 10   2.6634 0.0189234 46   0.00247305
61.4  0.180311 1.74403 13 10   2.66474 0.0190875 46   0.00235914
61.5  0.193707 6.87411 13 10   2.66312 0.0190383 46   0.00227573
61.6  0.193828 1.40211 13 10   2.66614 0.0191166 46   0.00238313
61.7  0.193429 1.62604 13 10   2.66249 0.0190296 46   0.00239868
61.8  0.192117 2.8799 13 10   2.66626 0.0190054 46   0.00239339
61.9  0.192221 2.56062 13 10   2.66495 0.0189668 46   0.00230813
62  0.206108 2.47233 13 10   2.66203 0.0190764 46   0.00237508
62.1  0.20655 1.63316 13 10   2.66261 0.0190136 46   0.00236752
62.2  0.181688 2.26828 13 10   2.66578 0.0191849 46   0.0025272
62.3  0.207252 3.13523 13 10   2.66424 0.0189421 46   0.00275514
62.4  0.16836 3.88202 13 10   2.66601 0.0191033 46   0.00279427
62.5  0.194441 2.79576 13 10   2.66623 0.0189853 46   0.00261447
62.6  0.182358 3.93298 13 10   2.66603 0.0189502 46   0.0024618
62.7  0.208014 2.13588 13 10   2.66486 0.0189903 46   0.00270324
62.8  0.170523 5.59345 13 10   2.66672 0.019017 46   0.00229498
62.9  0.182716 1.79419 13 10   2.66852 0.0189777 46   0.00254475
63  0.18271 2.11347 13 10   2.66852 0.0190545 46   0.00255574
63.1  0.207066 2.17282 13 10   2.66868 0.0190655 46   0.0027257
63.2  0.168398 1.69178 13 10   2.66683 0.0190015 46   0.00249487
63.3  0.182173 2.06341 13 10   2.66564 0.0189822 46   0.00267469
63.4  0.183963 2.48778 13 10   2.6662 0.0192628 46   0.00253648
63.5  0.169065 1.93733 13 10   2.66751 0.0190175 46   0.00254372
63.6  0.155156 3.70969 13 10   2.66979 0.0189771 46   0.00255789
63.7  0.193908 2.59211 13 10   2.66735 0.0189267 46   0.0025691
63.8  0.155011 2.77847 13 10   2.66846 0.0190902 46   0.00260192
63.9  0.16766 2.02121 13 10   2.66685 0.0190557 46   0.0027803
64  0.181516 3.32983 13 10   2.66598 0.0190368 46   0.00257714
64.1  0.1678 1.82681 13 10   2.66757 0.0191492 46   0.00260487
64.2  0.181278 2.05605 13 10   2.66729 0.0190397 46   0.00265848
64.3  0.167951 1.99075 13 10   2.66654 0.0189521 46   0.00261466
64.4  0.194527 4.92757 13 10   2.66569 0.0191477 46   0.00266608
64.5  0.195157 2.67546 13 10   2.66523 0.0190321 46   0.00265574
64.6  0.182214 1.47261 13 10   2.66566 0.0190011 46   0.00273585
64.7  0.180996 2.7614 13 10   2.666 0.0189727 46   0.00277462
64.8  0.194253 3.68687 13 10   2.66496 0.0190332 46   0.00285757
64.9  0.181218 1.76894 13 10   2.66637 0.0189981 46   0.00295521
65  0.155069 4.1161 13 10   2.66584 0.0189762 46   0.00303382
65.1  0.155107 1.4784 13 10   2.66585 0.0190126 46   0.00278926
65.2  0.1825 1.48693 13 10   2.66464 0.0190203 46   0.00289012
65.3  0.206762 1.94145 13 10   2.66691 0.0190547 46   0.00290511
65.4  0.181318 3.51659 13 10   2.66385 0.0191086 46   0.00320428
65.5  0.182248 5.10024 13 10   2.66575 0.0189833 46   0.00279705
65.6  0.194826 2.76904 13 10   2.6639 0.0191019 46   0.0032834
65.7  0.181836 2.31013 13 10   2.66011 0.0190435 46   0.00307506
65.8  0.193415 9.99857 13 10   2.66344 0.0191644 46   0.00307036
65.9  0.193832 3.04931 13 10   2.66394 0.019015 46   0.00304269
66  0.217693 1.72029 13 10   2.66466 0.0189911 46   0.00324384
66.1  0.192697 2.47256 13 10   2.66521 0.0190065 46   0.0031337
66.2  0.192037 1.8254 13 10   2.66709 0.0191313 46   0.00317323
66.3  0.192631 6.0241 13 10   2.67154 0.0190479 46   0.00303581
66.4  0.219064 4.91164 13 10   2.66951 0.0191084 46   0.00347572
66.5  0.206275 3.34784 13 10   2.66681 0.0192099 46   0.00336313
66.6  0.193347 2.64936 13 10   2.66292 0.0189416 46   0.00303823
66.7  0.182736 1.61393 13 10   2.66601 0.0190743 46   0.00347355
66.8  0.181765 2.88716 13 10   2.66622 0.0190191 46   0.00346989
66.9  0.181874 10.7927 13 10   2.66422 0.0191797 46   0.00320927
67  0.193608 2.16441 13 10   2.66506 0.0191067 46   0.00317769
67.1  0.18239 1.69914 13 10   2.66485 0.0189481 47   0.00337081
67.2  0.194402 1.6883 13 10   2.66729 0.0189614 47   0.00314163
67.3  0.169209 1.83121 13 10   2.66612 0.0189426 47   0.00356098
67.4  0.207783 2.02477 13 10   2.66602 0.0190078 47   0.00315123
67.5  0.168706 1.53642 13 10   2.67017 0.0189554 47   0.00354571
67.6  0.182315 3.14442 13 10   2.66968 0.0190229 47   0.00341775
67.7  0.1685 1.84565 13 10   2.67165 0.0189941 47   0.00364238
67.8  0.168887 4.15102 13 10   2.67125 0.0197815 47   0.0034608
67.9  0.169161 2.71721 13 10   2.67471 0.0189157 47   0.00344
68  0.194486 1.98551 13 10   2.67657 0.0190763 47   0.0035413
68.1  0.169573 1.71776 13 10   2.67605 0.0189661 47   0.00362481
68.2  0.169099 1.58487 13 10   2.67566 0.0190272 47   0.00365447
68.3  0.169396 4.96328 13 10   2.67619 0.0189522 47   0.00347818
68.4  0.181819 2.73899 13 10   2.67888 0.0190698 47   0.00349726
68.5  0.155455 1.82595 13 10   2.67978 0.0191157 47   0.00358293
68.6  0.181486 1.52302 13 10   2.68045 0.0191009 47   0.00326212
68.7  0.167536 2.2715 13 10   2.67732 0.0190484 47   0.00338714
68.8  0.155977 1.90551 13 10   2.67941 0.0191333 47   0.00367746
68.9  0.155678 2.26711 13 10   2.67846 0.0191477 47   0.00246619
69  0.154996 1.53801 13 10   2.68004 0.0190387 47   0.00350225
69.1  0.194042 1.59677 13 10   2.6792 0.019062 47   0.00363933
69.2  0.205795 2.02383 13 10   2.68047 0.0189071 47   0.00363085
69.3  0.193445 1.89413 13 10   2.67753 0.0189479 47   0.00352596
69.4  0.181205 2.22517 13 10   2.67715 0.0190215 47   0.00373162
69.5  0.194758 1.74595 13 10   2.67577 0.0192173 47   0.00374485
69.6  0.182302 1.76411 13 10   2.67867 0.0191413 47   0.00379269
69.7  0.193852 2.25219 13 10   2.67824 0.0189938 47   0.00402199
69.8  0.155701 1.83179 13 10   2.68271 0.0190173 47   0.00359124
69.9  0.182294 2.02149 13 10   2.6821 0.0190416 47   0.00404627
70  0.181934 1.83592 13 10   2.68122 0.0190967 47   0.00393736
70.1  0.168756 1.58696 13 10   2.68181 0.0189656 47   0.00386585
70.2  0.194226 1.56531 13 10   2.68076 0.0190504 47   0.00382018
70.3  0.1555 1.84527 13 10   2.6808 0.0191356 47   0.00377385
70.4  0.206347 2.64729 13 10   2.68356 0.0191192 47   0.00368317
70.5  0.168586 1.7583 13 10   2.68388 0.0189867 47   0.00370925
70.6  0.194272 1.81227 13 10   2.68126 0.0189696 47   0.0040668
70.7  0.193439 2.97286 13 10   2.68184 0.0190056 47   0.00370566
70.8  0.19349 1.95647 13 10   2.68125 0.0189596 47   0.00360174
70.9  0.217413 5.89178 13 10   2.67903 0.019068 47   0.00388657
71  0.192862 2.78166 13 10   2.67952 0.0190601 47   0.00381338
71.1  0.206397 1.89439 13 10   2.67773 0.0189802 47   0.00369397
71.2  0.205549 1.69175 13 10   2.68212 0.0190885 47   0.00376209
71.3  0.192676 3.70808 13 10   2.68139 0.0190148 47   0.00381983
71.4  0.181797 8.34631 13 10   2.68195 0.0190881 47   0.00391634
71.5  0.181397 2.13598 13 10   2.68219 0.019082 47   0.00378028
71.6  0.182526 1.49132 13 10   2.68418 0.0190068 47   0.00366624
71.7  0.195354 2.56682 13 10   2.68404 0.0191091 47   0.00439907
71.8  0.155087 27.7892 13 10   2.68647 0.0189981 47   0.00341265
71.9  0.181428 5.38563 13 10   2.68477 0.0190084 47   0.0036286
72  0.193616 2.64442 13 10   2.68514 0.0190518 47   0.00393361
72.1  0.193768 1.84002 13 10   2.68411 0.0189816 47   0.00368146
72.2  0.179911 2.15058 13 10   2.68587 0.0191891 47   0.00384758
72.3  0.168333 4.29519 13 10   2.6847 0.0190396 47   0.00370783
72.4  0.193561 1.86681 13 10   2.6882 0.0191076 47   0.00383314
72.5  0.181304 1.59355 13 9   2.68447 0.0190699 47   0.003841
72.6  0.181502 2.67593 13 9   2.68628 0.0189207 47   0.00391059
72.7  0.154532 2.49367 13 9   2.68418 0.019055 47   0.00377311
72.8  0.181296 1.67792 13 9   2.68391 0.019103 47   0.00393482
72.9  0.168512 2.08162 13 9   2.68274 0.0190129 47   0.00389207
73  0.168824 4.04648 13 9   2.68285 0.0191581 47   0.00411487
73.1  0.193068 1.76721 13 9   2.68462 0.0190141 47   0.00379103
73.2  0.168738 2.19425 13 9   2.6865 0.0191884 47   0.00387847
73.3  0.167799 2.24339 13 9   2.68499 0.0190028 47   0.00381573
73.4  0.155765 2.2169 13 9   2.68535 0.0190434 47   0.00416702
73.5  0.181076 1.59934 13 9   2.68487 0.0189616 47   0.00392074
73.6  0.155033 1.91396 13 9   2.68214 0.0190649 47   0.00424401
73.7  0.167917 1.91372 13 9   2.68319 0.0190038 47   0.00382332
73.8  0.180625 1.71348 13 9   2.6833 0.0189717 47   0.0038681
73.9  0.180387 2.18155 13 9   2.68594 0.0191012 47   0.00380205
74  0.168915 1.73145 13 9   2.68291 0.0189919 47   0.00399422
74.1  0.180651 1.43815 13 9   2.68601 0.0190927 47   0.00402434
74.2  0.194166 1.85428 13 9   2.68484 0.0189876 47   0.00432262
74.3  0.181484 1.61519 13 9   2.6881 0.0190374 47   0.0040024
74.4  0.181789 1.77241 13 9   2.68824 0.0191075 47   0.00379454
74.5  0.168834 5.0136 13 9   2.70754 0.0192584 47   0.00406576
74.6  0.18188 1.80457 13 9   2.68484 0.0190742 47   0.00501782
74.7  0.168388 1.46882 13 9   2.68342 0.018987 47   0.00409991
74.8  0.180927 1.58656 13 9   2.68354 0.019 47   0.00389551
74.9  0.181823 2.07122 13 9   2.68291 0.0192266 47   0.00420565
75  0.168369 4.18238 13 9   2.68542 0.0191064 48   0.00399248
75.1  0.167753 1.43457 13 9   2.68354 0.0190839 48   0.00409225
75.2  0.193447 3.38251 13 9   2.7179 0.0190267 48   0.00407177
75.3  0.180495 1.67366 13 9   2.69304 0.019249 48   0.00441499
